Metric_ID,Category,Verification_Item,Expected_Behavior,Verified_Status,Measured_Value,Notes
M-01,Activation,FAV Regime Frequency,Moderate proportion in bull periods,PASSED,32.4%,"Sensible correlation with market up-moves"
M-02,Activation,NEU Regime Frequency,Fallback default under mixed signals,PASSED,41.2%,"Expected baseline frequency"
M-03,Activation,CAU Regime Frequency,Fires during key index consolidation,PASSED,18.6%,"Successfully triggered under SMA50 breaks"
M-04,Activation,DEF Regime Frequency,Fires during clean structural bear trend,PASSED,7.8%,"Matches Nifty bear phases"
M-05,Activation,ABS (Abstained) Rate,Rare except on fetch errors / new tokens,PASSED,0.0%,"Zero fetch errors on clean historical series"
M-06,Score Impact,FAV Score Adjustment,Modest positive adjustment (+2.0 max),PASSED,+2.0,"Always capped to prevent WATCH->BUY promotions"
M-07,Score Impact,NEU Score Adjustment,No score modification (0.0 change),PASSED,0.0,"Zero distortion on neutral sessions"
M-08,Score Impact,CAU Score Adjustment,Soft score penalty (-3.0 adjustment),PASSED,-3.0,"Drives borderline BUYs to WATCH as intended"
M-09,Score Impact,DEF Score Adjustment,Pessimistic score penalty (-5.0 adjustment),PASSED,-5.0,"Filters out weaker setups in high risk conditions"
M-10,Label Impact,WATCH stays WATCH,WATCH never promoted to BUY,PASSED,100.0%,"Zero promotions of WATCH or REJECT"
M-11,Label Impact,REJECT stays REJECT,REJECT score adjusted down or unchanged,PASSED,100.0%,"Zero upgrades of REJECT labels"
M-12,Label Impact,BUY downgrades (CAU),Borderline BUYs (<74 score) to WATCH,PASSED,12.5%,"Downgraded 12.5% of BUY candidates to WATCH"
M-13,Label Impact,BUY downgrades (DEF),Conviction BUYs (<77 score) to WATCH,PASSED,38.5%,"Downgraded 38.5% of BUY candidates to WATCH"
M-14,Abstention,Staleness limit safety,Index older than T-1 defaults to ABS,PASSED,0,"Handled safely on holiday/session boundaries"
M-15,Abstention,Sector mapping coverage,Missing symbol config defaults to UNKNOWN,PASSED,2,"TCS mapped; unmapped symbols log UNKNOWN safely"
M-16,Log Contract,Payload Completeness,All 17 fields present in output log,PASSED,100.0%,"Zero occurrences of missing keys or KeyError"
M-17,Gate Safety,Unmodified raw TA score,Strict Buy Gate receives raw_technical_score,PASSED,100.0%,"No leakage of adjusted_score to Strict Buy Gate"
M-18,Outcome,False Positive reduction,Fewer losing trades in bear/choppy regimes,PASSED,-14.2%,"Reduced false-positive buys by 14.2% in active testing"
